uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points

# Rear Left Post
1 ,frame,12,0.61,FALSE,0,frame,12,bus,done,"[[ 0.766, 0.609, 0.981], [ 0.766, 0.000, 0.981]]"
2 ,frame,12,0.61,FALSE,0,frame,12,bus,done,"[[ 0.726, 0.000, 1.010], [ 0.726, 0.609, 1.010]]"
3 ,frame,21,1.04,FALSE,0,frame,21,bus,done,"[[ 0.726, 0.940, 1.010], [ 0.726, 1.981, 1.010]]"
4 ,frame,21,1.04,FALSE,0,frame,21,bus,done,"[[ 0.766, 1.981, 0.981], [ 0.766, 0.940, 0.981]]"

# Rear Right Post
5 ,frame,12,0.61,FALSE,0,frame,12,bus,done,"[[-0.766, 0.609, 0.981], [-0.766, 0.000, 0.981]]"
6 ,frame,12,0.61,FALSE,0,frame,12,bus,done,"[[-0.726, 0.000, 1.010], [-0.726, 0.609, 1.010]]"
7 ,frame,21,1.04,FALSE,0,frame,21,bus,done,"[[-0.726, 0.940, 1.010], [-0.726, 1.981, 1.010]]"
8 ,frame,21,1.04,FALSE,0,frame,21,bus,done,"[[-0.766, 1.981, 0.981], [-0.766, 0.940, 0.981]]"

# Front Left Post
9 ,frame,12,0.61,FALSE,0,frame,12,bus,done,"[[ 0.766, 0.609,-0.981], [ 0.766, 0.000,-0.981]]"
10,frame,12,0.61,FALSE,0,frame,12,bus,done,"[[ 0.726, 0.000,-1.010], [ 0.726, 0.609,-1.010]]"
11,frame,21,1.04,FALSE,0,frame,21,bus,done,"[[ 0.752, 0.940,-1.077], [ 0.752, 1.981,-1.077]]"
12,frame,21,1.04,FALSE,0,frame,21,bus,done,"[[ 0.721, 1.981,-1.037], [ 0.721, 0.940,-1.037]]"
13,frame,21,1.04,FALSE,0,frame,21,bus,done,"[[ 0.726, 0.940,-1.010], [ 0.726, 1.981,-1.010]]"
14,frame,21,1.04,FALSE,0,frame,21,bus,done,"[[ 0.766, 1.981,-0.981], [ 0.766, 0.940,-0.981]]"

# Front Right Post 
15,frame,12,0.61,FALSE,0,frame,12,bus,done,"[[-0.766, 0.609,-0.981], [-0.766, 0.000,-0.981]]"
16,frame,12,0.61,FALSE,0,frame,12,bus,done,"[[-0.726, 0.000,-1.010], [-0.726, 0.609,-1.010]]"
17,frame,21,1.04,FALSE,0,frame,21,bus,done,"[[-0.752, 0.940,-1.077], [-0.752, 1.981,-1.077]]"
18,frame,21,1.04,FALSE,0,frame,21,bus,done,"[[-0.721, 1.981,-1.037], [-0.721, 0.940,-1.037]]"
19,frame,21,1.04,FALSE,0,frame,21,bus,done,"[[-0.726, 0.940,-1.010], [-0.726, 1.981,-1.010]]"
20,frame,21,1.04,FALSE,0,frame,21,bus,done,"[[-0.766, 1.981,-0.981], [-0.766, 0.940,-0.981]]"

# Headboard
21,headboard,10,0.51,FALSE,0,headboard,10,bus,done,"[[-0.713035550017301, 1.8017166258131077, 1.0847337182714454], [-0.2064049949415157, 1.8017166258131077, 1.0847337182714454]]"
22,headboard,8,0.40,TRUE,0,headboard,8,bus,done,"[[-0.01372410458679564, 1.4210774712951701, 1.0847337182714454], [-0.20325779882662373, 1.7764531479948453, 1.0847337182714454]]"
23,headboard,8,0.40,FALSE,0,headboard,8,bus,done,"[[-0.20379842849237875, 1.801716625813102, 1.0847337182714454], [0.20068947109005392, 1.8017166258131025, 1.0847337182714454]]"
24,headboard,8,0.41,TRUE,0,headboard,8,bus,done,"[[0.011884704514461397, 1.419411845737589, 1.0847337182714454], [0.2030122779084564, 1.7777760458513299, 1.0847337182714454]]"
25,headboard,10,0.51,FALSE,0,headboard,10,bus,done,"[[0.2067479181336751, 1.802550362412868, 1.0847337182714454], [0.7133784732094592, 1.8025503624128683, 1.0847337182714454]]"
26,headboard,14,0.71,FALSE,0,headboard,14,bus,done,"[[0.7471636760884874, 1.752747647331154, 1.0759691093135215], [0.7471636760884874, 1.0422355748508376, 1.0759691093135215]]"
27,headboard,10,0.51,TRUE,0,headboard,10,bus,done,"[[0.2055819910548214, 0.9922310426102879, 1.0847337182714454], [0.7122125461306034, 0.9922310426102883, 1.0847337182714454]]"
28,headboard,8,0.40,FALSE,0,headboard,8,bus,done,"[[0.20275160271767476, 1.017232034138935, 1.0847337182714454], [0.013217908477846017, 1.3726077108386112, 1.0847337182714454]]"
29,headboard,8,0.40,TRUE,0,headboard,8,bus,done,"[[-0.20496435557123063, 0.9913973060105221, 1.0847337182714454], [0.19952354401120026, 0.9913973060105223, 1.0847337182714454]]"
30,headboard,8,0.41,FALSE,0,headboard,8,bus,done,"[[-0.2036814409946124, 1.016475970376752, 1.0847337182714454], [-0.012553867600616506, 1.3748401704904945, 1.0847337182714454]]"
31,headboard,10,0.51,TRUE,0,headboard,10,bus,done,"[[-0.7142014770961507, 0.9913973060105274, 1.0847337182714454], [-0.2075709220203676, 0.9913973060105274, 1.0847337182714454]]"
32,headboard,14,0.71,TRUE,0,headboard,14,bus,done,"[[-0.7472295008969535, 1.7523413611730205, 1.0760569072324317], [-0.7472295008969536, 1.0407692188469817, 1.0760569072324317]]"
