uid,name,num_leds,length
1,dome/Body2,26,0.87
2,dome/Body10,25,0.87
3,dome/Body12,25,0.87
4,dome/Body17,26,0.89
5,dome/Body26,22,0.75
6,dome/Body28,24,0.80
7,dome/Body30,27,0.92
8,dome/Body35,15,0.52
9,dome/Body37,23,0.79
10,dome/Body54,24,0.83
11,dome/Body55,28,0.95
12,dome/Body58,24,0.81
13,dome/Body69,21,0.73
14,dome/Body70,24,0.82
15,dome/Body76,22,0.75
16,dome/Body77,15,0.52
17,dome/Body79,21,0.73
18,dome/Body83,15,0.52
19,dome/Body86,15,0.52
20,dome/Body87,26,0.88
21,dome/Body103,22,0.75
22,dome/Body104,15,0.52
23,dome/Body112,31,1.04
24,dome/Body114,24,0.83
25,dome/Body117,22,0.76
26,dome/Body123,26,0.87
27,dome/Body124,15,0.52
28,dome/Body130,21,0.73
29,dome/Body132,26,0.90
30,dome/Body133,22,0.73
31,dome/Body136,21,0.73
32,dome/Body137,22,0.76
33,dome/Body141,17,0.57
34,dome/Body148,24,0.81
35,dome/Body149,22,0.76
36,dome/Body151,17,0.57
37,dome/Body152,22,0.76
38,dome/Body153,32,1.08
39,dome/Body155,15,0.52
40,dome/Body158,22,0.76
41,dome/Body159,22,0.73
