uid,name,num_leds,length
51,dome/Body1,15,0.52
52,dome/Body4,31,1.04
53,dome/Body7,26,0.87
54,dome/Body8,21,0.73
55,dome/Body11,22,0.75
56,dome/Body13,22,0.76
57,dome/Body15,22,0.76
58,dome/Body21,24,0.83
59,dome/Body22,22,0.76
60,dome/Body23,22,0.75
61,dome/Body29,15,0.52
62,dome/Body38,15,0.52
63,dome/Body39,15,0.52
64,dome/Body46,24,0.82
65,dome/Body49,15,0.52
66,dome/Body51,24,0.80
67,dome/Body57,22,0.75
68,dome/Body62,28,0.95
69,dome/Body63,26,0.89
70,dome/Body66,21,0.73
71,dome/Body74,26,0.90
72,dome/Body75,27,0.91
73,dome/Body78,32,1.08
74,dome/Body80,26,0.87
75,dome/Body88,26,0.90
76,dome/Body90,32,1.08
77,dome/Body94,30,1.01
78,dome/Body96,21,0.73
79,dome/Body113,15,0.52
80,dome/Body115,21,0.73
81,dome/Body116,26,0.87
82,dome/Body122,22,0.73
83,dome/Body126,27,0.92
84,dome/Body128,22,0.73
85,dome/Body134,17,0.57
86,dome/Body135,24,0.81
87,dome/Body138,23,0.79
88,dome/Body142,15,0.52
89,dome/Body143,28,0.96
90,dome/Body147,18,0.62
91,dome/Body157,24,0.81
