uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
100,fire_pit,42,0.69,FALSE,0,fire_pit,42,bus,done,"[[0.26182137581256787, -0.508, -0.4534879254149523], [0.0, -0.054512074585047685, -7.105427357601002e-17]]"
101,fire_pit,42,0.69,FALSE,0,fire_pit,42,bus,done,"[[0.5236427516251354, -0.508, 1.4210854715202004e-16], [0.0, -0.054512074585047685, -7.105427357601002e-17]]"
102,fire_pit,42,0.69,FALSE,0,fire_pit,42,bus,done,"[[0.2618213758125676, -0.508, 0.4534879254149524], [0.0, -0.054512074585047685, -7.105427357601002e-17]]"
103,fire_pit,42,0.69,FALSE,0,fire_pit,42,bus,done,"[[-0.26182137581256776, -0.508, 0.45348792541495236], [0.0, -0.054512074585047685, -7.105427357601002e-17]]"
104,fire_pit,42,0.69,FALSE,0,fire_pit,42,bus,done,"[[-0.5236427516251354, -0.508, 0.0], [0.0, -0.054512074585047685, -7.105427357601002e-17]]"
105,fire_pit,42,0.69,FALSE,0,fire_pit,42,bus,done,"[[-0.2618213758125675, -0.508, -0.4534879254149525], [0.0, -0.054512074585047685, -7.105427357601002e-17]]"
106,fire_pit,32,0.52,FALSE,0,fire_pit,32,bus,done,"[[0.26182137581256787, -0.508, -0.4534879254149523], [-0.2618213758125675, -0.508, -0.4534879254149525]]"
107,fire_pit,32,0.52,FALSE,0,fire_pit,32,bus,done,"[[0.5236427516251354, -0.508, 1.4210854715202004e-16], [0.26182137581256787, -0.508, -0.4534879254149523]]"
108,fire_pit,32,0.52,FALSE,0,fire_pit,32,bus,done,"[[-0.2618213758125675, -0.508, -0.4534879254149525], [-0.5236427516251354, -0.508, 0.0]]"
109,fire_pit,32,0.52,FALSE,0,fire_pit,32,bus,done,"[[-0.5236427516251354, -0.508, 0.0], [-0.26182137581256776, -0.508, 0.45348792541495236]]"
110,fire_pit,32,0.52,FALSE,0,fire_pit,32,bus,done,"[[-0.26182137581256776, -0.508, 0.45348792541495236], [0.2618213758125676, -0.508, 0.4534879254149524]]"
111,fire_pit,32,0.52,FALSE,0,fire_pit,32,bus,done,"[[0.2618213758125676, -0.508, 0.4534879254149524], [0.5236427516251354, -0.508, 1.4210854715202004e-16]]"
