uid,name,num_leds,length
201,leg_back_right/Body1,147,4.90
202,leg_back_right/Body2,50,1.67
203,leg_back_right/Body3,48,1.62
204,leg_back_right/Body4,67,2.25
205,leg_back_right/Body5,62,2.08
206,leg_back_right/Body6,35,1.19
207,leg_back_right/Body7,33,1.12
208,leg_back_right/Body8,30,1.03
209,leg_back_right/Body1,147,4.92
210,leg_front_right/Body1,164,5.49
211,leg_front_right/Body2,44,1.49
212,leg_front_right/Body3,40,1.36
213,leg_front_right/Body4,37,1.25
214,leg_front_right/Body5,24,0.81
215,leg_front_right/Body6,33,1.12
216,leg_front_right/Body1,137,4.59
217,leg_back_left/Body1,147,4.90
218,leg_back_left/Body2,50,1.67
219,leg_back_left/Body3,48,1.62
220,leg_back_left/Body4,67,2.25
221,leg_back_left/Body5,62,2.08
222,leg_back_left/Body6,35,1.19
223,leg_back_left/Body7,33,1.12
224,leg_back_left/Body8,30,1.03
225,leg_back_left/Body1,147,4.92
226,leg_front_left/Body1,164,5.49
227,leg_front_left/Body2,44,1.49
228,leg_front_left/Body3,40,1.36
229,leg_front_left/Body4,37,1.25
230,leg_front_left/Body5,24,0.81
231,leg_front_left/Body6,33,1.12
232,leg_front_left/Body1,137,4.59
