uid,name,num_leds,length
101,trunk/Body1,150,5.02
102,trunk/Body2,98,3.29
103,trunk/Body3,91,3.05
104,trunk/Body4,85,2.84
105,trunk/Body5,79,2.64
106,trunk/Body6,73,2.45
107,trunk/Body7,67,2.25
108,trunk/Body8,61,2.05
109,trunk/Body9,56,1.87
110,trunk/Body10,51,1.72
111,trunk/Body11,47,1.60
112,trunk/Body12,44,1.49
113,trunk/Body13,41,1.39
114,trunk/Body14,35,1.19
115,trunk/Body16,38,1.29
116,trunk/Body17,30,1.02
117,trunk/Body18,28,0.95
118,trunk/Body19,25,0.87
119,trunk/Body20,23,0.78
120,trunk/Body21,20,0.69
121,trunk/Body22,18,0.60
122,trunk/Body23,15,0.52
123,trunk/Body24,13,0.44
124,trunk/Body25,10,0.34
125,trunk/Body26,7,0.24
126,trunk/Body27,5,0.18
127,trunk/Body28,30,1.02
128,trunk/Body29,28,0.95
129,trunk/Body30,25,0.87
130,trunk/Body31,23,0.78
131,trunk/Body32,20,0.69
132,trunk/Body33,18,0.60
133,trunk/Body34,15,0.52
134,trunk/Body35,13,0.44
135,trunk/Body36,10,0.34
136,trunk/Body37,7,0.24
137,trunk/Body38,5,0.18
