uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status
10,trunk/Body1,150,5.0,FALSE,9,flange,98,trunk_tusks_flange,done
11,trunk/Body2,98,3.3,FALSE,21,trunk,66,trunk_tusks_flange,done
12,trunk/Body3,91,3.0,FALSE,20,trunk,61,trunk_tusks_flange,done
13,trunk/Body4,85,2.8,FALSE,15,trunk,57,trunk_tusks_flange,done
14,trunk/Body5,79,2.6,FALSE,20,trunk,53,trunk_tusks_flange,done
15,trunk/Body6,73,2.4,FALSE,10,trunk,49,trunk_tusks_flange,done
16,trunk/Body7,67,2.2,FALSE,15,trunk,45,trunk_tusks_flange,done
17,trunk/Body8,61,2.0,FALSE,10,trunk,41,trunk_tusks_flange,done
18,trunk/Body9,56,1.9,FALSE,15,trunk,37,trunk_tusks_flange,done
19,trunk/Body10,51,1.7,FALSE,13,trunk,34,trunk_tusks_flange,done
20,trunk/Body11,47,1.6,FALSE,12,trunk,30,trunk_tusks_flange,done
21,trunk/Body12,44,1.5,FALSE,11,trunk,29,trunk_tusks_flange,done
22,trunk/Body13,41,1.4,FALSE,10,trunk,27,trunk_tusks_flange,done
23,trunk/Body14,35,1.2,FALSE,9,trunk,25,trunk_tusks_flange,done
24,trunk/Body16,38,1.3,FALSE,8,trunk,24,trunk_tusks_flange,done
25,trunk/Body17,30,1.0,FALSE,0,right_tusk,20,trunk_tusks_flange,done
26,trunk/Body18,28,0.9,FALSE,0,right_tusk,18,trunk_tusks_flange,done
27,trunk/Body19,25,0.9,FALSE,0,right_tusk,16,trunk_tusks_flange,done
28,trunk/Body20,23,0.8,FALSE,0,right_tusk,15,trunk_tusks_flange,done
29,trunk/Body21,20,0.7,FALSE,0,right_tusk,13,trunk_tusks_flange,done
30,trunk/Body22,18,0.6,FALSE,0,right_tusk,12,trunk_tusks_flange,done
31,trunk/Body23,15,0.5,FALSE,0,right_tusk,10,trunk_tusks_flange,done
32,trunk/Body24,13,0.4,FALSE,0,right_tusk,9,trunk_tusks_flange,done
33,trunk/Body25,10,0.3,FALSE,0,right_tusk,7,trunk_tusks_flange,done
34,trunk/Body26,7,0.2,FALSE,0,right_tusk,5,trunk_tusks_flange,done
35,trunk/Body27,5,0.2,FALSE,0,right_tusk,3,trunk_tusks_flange,done
131,trunk/Body28,30,1.0,FALSE,0,left_tusk,20,trunk_tusks_flange,done
37,trunk/Body29,28,0.9,FALSE,0,left_tusk,18,trunk_tusks_flange,done
38,trunk/Body30,25,0.9,FALSE,0,left_tusk,16,trunk_tusks_flange,done
39,trunk/Body31,23,0.8,FALSE,0,left_tusk,15,trunk_tusks_flange,done
40,trunk/Body32,20,0.7,FALSE,0,left_tusk,13,trunk_tusks_flange,done
41,trunk/Body33,18,0.6,FALSE,0,left_tusk,12,trunk_tusks_flange,done
42,trunk/Body34,15,0.5,FALSE,0,left_tusk,10,trunk_tusks_flange,done
43,trunk/Body35,13,0.4,FALSE,0,left_tusk,9,trunk_tusks_flange,done
44,trunk/Body36,10,0.3,FALSE,0,left_tusk,7,trunk_tusks_flange,done
45,trunk/Body37,7,0.2,FALSE,0,left_tusk,5,trunk_tusks_flange,done
46,trunk/Body38,5,0.2,FALSE,0,left_tusk,3,trunk_tusks_flange,done
