uid,name,num_leds,length,reversed
10,trunk/Body1,150,5.019064945019456,False
11,trunk/Body2,98,3.28602212775193,False
12,trunk/Body3,91,3.047069722965497,False
13,trunk/Body4,85,2.839692696409709,False
14,trunk/Body5,79,2.643810550880627,False
15,trunk/Body6,73,2.4469124175411423,False
16,trunk/Body7,67,2.246801875240782,False
17,trunk/Body8,61,2.0467784921433587,False
18,trunk/Body9,56,1.8704228369158802,False
19,trunk/Body10,51,1.7246204473681122,False
20,trunk/Body11,47,1.5993502627193,False
21,trunk/Body12,44,1.4892323129409444,False
22,trunk/Body13,41,1.387877182861683,False
23,trunk/Body14,35,1.1870739593936823,False
24,trunk/Body16,38,1.2937078182514652,False
25,trunk/Body17,30,1.016335938188821,False
26,trunk/Body18,28,0.9463065962309432,False
27,trunk/Body19,25,0.8665129365018359,False
28,trunk/Body20,23,0.7773653579635473,False
29,trunk/Body21,20,0.6910699420825821,False
30,trunk/Body22,18,0.6049488332484211,False
31,trunk/Body23,15,0.5191781308693768,False
32,trunk/Body24,13,0.43639567758995684,False
33,trunk/Body25,10,0.3433107945798658,False
34,trunk/Body26,7,0.242931079795157,False
35,trunk/Body27,5,0.17584040948065,False
36,trunk/Body28,30,1.016335938188822,False
37,trunk/Body29,28,0.9463065962309426,False
38,trunk/Body30,25,0.8665129365018371,False
39,trunk/Body31,23,0.7773653579635473,False
40,trunk/Body32,20,0.6910699420825822,False
41,trunk/Body33,18,0.6049488332484209,False
42,trunk/Body34,15,0.5191781308693757,False
43,trunk/Body35,13,0.43639567758995734,False
44,trunk/Body36,10,0.3433107945798656,False
45,trunk/Body37,7,0.24293107979515766,False
46,trunk/Body38,5,0.17584040948065024,False
